article,pub_date,nltk_score,source
NATIONAL WILDLIFE FEDERATION ACTION FUND

$165K



UNITED MINE WORKERS OF AMERICA POWER PAC

$159K



INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES LEGISLATIVE EDUCATIONAL COMMITTEE

$155K



THE TEAPARTY.NET LEADERSHIP FUND

$154K



WINNING FREEDOM INC

$153K



ICPURPLE, INC.

$153K



STAND WITH AMERICA

$150K



FRIESS, FOSTER S

$143K



1911 UNITED

(supports Barack Obama) $143K



UNITED STEELWORKERS POLITICAL ACTION FUND

$141K



TRUST IN SMALL BUSINESS POLITICAL ACTION COMMITTEE (TISB PAC)

$140K



DISTRICT COUNCIL 50 INT'L UNION OF PAINTERS AND ALLIED TRADES LOCAL JOBS FOR LOCAL PEOPLE

$140K



CONSERVATIVE ACTION FUND

$137K



VETERANS FOR A STRONG AMERICA ACTION GROUP

$135K



TEA PARTY VICTORY FUND

$134K



MONTANA LEAGUE OF RURAL VOTERS

$134K



CHARACTER COUNTS POLITICAL ACTION COMMITTE INC

$132K



RESTORING AMERICA INC

$132K



USA PAC

$127K



ARIZONA REPUBLICAN PARTY

$126K



PACIFIC RESOURCE PARTNERSHIP

$122K



PATRIOT VOICES PAC

$120K



CALIFORNIANS FOR A STRONGER AMERICA

$120K



REAL STREET CONSERVATIVES PAC

$120K



CITIZENS FOR PROSPERITY AND GOOD GOVERNMENT

$119K



LIBERTY ACTION PAC

$119K



CITIZENS FOR PROSPERITY IN AMERICA TODAY PAC

$119K



ILLINOIS CHAMBER OF COMMERCE

$117K



PROGRESSIVE LEADERSHIP ALLIANCE OF NEVADA ACTION FUND

$111K



LIFE AND MARRIAGE PAC

$107K



OUR COMMUNITY VOTES

$106K



REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA

$105K



ARIZONANS FOR JOBS

$103K



NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES

$101K



FREEDOM BORN FUND

$101K



A CRITICAL CHOICE FOR AMERICA POLITICAL ACTION COMMITTEE

$100K



AMERICAN OPTOMETRIC ASSOCIATION POLITICAL ACTION COMMITTEE

$100K



COMMITTEE FOR AN EFFECTIVE AND TRUSTED CONGRESSMAN

$100K



IOWANS FOR INTEGRITY IN LEADERSHIP

$95.5K



INLAND EMPIRE TAXPAYERS FOR JOBS

$94.8K



COASTAL FLORIDA'S FUTURE PAC

$94.6K



WE VOTE

$94.2K



FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC

$94K



AMERICA VS OBAMA

$92.9K



ILLINOIS AGRICULTURAL ASSOCIATION ACTIVATOR POLITICAL INVOLVEMENT FUND (FED) 'ACTIVATOR'

$92.1K



AMERICA'S VOICE

$91.2K



BLACK REPUBLICAN PAC

$90.4K



JEWISH COUNCIL FOR EDUCATION AND RESEARCH

$87K



D.R.I.V.E. - DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDUCATION (THE PAC OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS)

$86.7K



CAIN CONNECTIONS PAC

$85.6K



BLACK AMERICA'S POLITICAL ACTION COMMITTEE

$84.6K



AMERICANS FOR GROWTH, OPPORTUNITY AND PROSPERITY, INC.

$84.5K



AMERICA VOTES ACTION FUND

$84.3K



NEW VIRGINIA PAC

$83.9K



IT'S NOW OR NEVER INC

$82.6K



PROGRESSIVE CHANGE CAMPAIGN COMMITTEE

$80K



AMERICANS FOR A BETTER TOMORROW, TOMORROW

(supports Stephen Colbert) $79.5K



STRONG UTAH PAC

$77.4K



NEW YORK STATE CONSERVATIVE PARTY

$77K



INDIANA REPUBLICAN PARTY AFFILIATE, INC.

$74.7K



WISCONSIN FAMILY ACTION INC

$72.8K



HUMAN RIGHTS CAMPAIGN

$72.8K



GUN OWNERS OF AMERICA, INC.

$69.6K



AUL ACTION, NFP

$68.8K



UAW

$67.9K



VOTE YOUR VALUES PAC

$64.5K



DGA ACTION

$63.7K



ASSOCIATED BUILDERS AND CONTRACTORS POLITICAL ACTION COMMITTEE (ABC PAC)

$63.1K



WORKING FOR WORKING AMERICANS

$62.4K



COLORADO FAMILY ACTION

$61.3K



MONTANA GROWTH FOUNDATION

$60.1K



MONTANA HUNTERS AND ANGLERS ACTION!

$60K



RESTORING ARIZONA'S INTEGRITY

$59.8K



THE COMMON SENSE MOVEMENT

$59.5K



PROGRESSIVE USA VOTERS

$58.5K



EMERGENCY COMMITTEE FOR ISRAEL

$58.4K



ENTERPRISE FREEDOM ACTION COMMITTEE

$58.1K



BEAT OBAMA POLITICAL ACTION COMMITTEE

$57.3K



FLORIDA WATCH ACTION INC.

$57.3K



AMERICAN OSTEOPATHIC INFORMATION ASSOCIATION

$57K



CAMPAIGN FOR OUR FUTURE

$56.7K



IOWA CREDIT UNION LEAGUE

$56.6K



FRIENDS UNITED POLITICAL ACTION COMMITTEE

$56.6K



ALPHA VALLEY BUSINESS AND TECHNOLOGY CONSORTIUM

$54.9K



WORKING FOR MICHIGAN

$52.6K



AMERICA'S ROAD AHEAD FUND

$52.4K



PLANNED PARENTHOOD ADVOCATES MAR MONTE

$52K



WOMEN'S VOICES WOMEN VOTE ACTION FUND

$52K



LIBERTARIAN ACTION SUPER PAC

$51.4K



STRENGTH & LIBERTY PAC

$50K



CITIZENS FOR STRENGTH AND SECURITY PAC

$49.2K



VIRGINIA NEW MAJORITY

$48.9K



INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION

$47.6K



A BETTER AMERICA NOW INC.

$47.5K



AMERICA VOTES

$46.7K



WESTERN REPRESENTATION PAC

$45.6K



APPEL, MARTIN

$45.3K



SAFE NATION PAC INC

$44.7K



NEW YORK LEAGUE OF CONSERVATION VOTERS

$44.4K



CALIFORNIANS FOR SACRED SITES PROTECTION

$44.1K



INDEPENDENT SOURCE PAC

$43.7K



WAGNER, SCOTT R.

$43.4K



AMERICAN ASSOCIATION OF NURSE ANESTHETISTS SEPARATE SEGREGATED FUND (CRNA-PAC)

$42.9K



EMPOWER WISCONSIN

$42.4K



BLUE AMERICA PAC

$42K



AMERICA IS NOT STUPID INC.

$41.7K



INTERNATIONAL BROTHERHOOD OF BOILERMAKERS LEGISLATIVE EDUCATION FUND

$40.4K



RIGHTCHANGE.COM II INC. (C4 ORGANIZATION)

$40K



TRINITY PAC

$39.5K



LIBERTY USA PAC

$39K



MONTANA NATIVE VOTE

$38.8K



PLANNED PARENTHOOD VOTERS OF NEBRASKA

$37.9K



